component_failed,failure_timestamp,operating_hours_at_failure
def_system,2012-05-0,3435.7
processing_cleaning_system,2013-01-3,4757.8
auger_unloading_system,2013-02-0,4766.9
chassis_structural,2013-10-2,6121.7
electrical_system,2013-11-2,6204.6
def_system,2014-04-2,7046.0
sensor_vision_system,2014-05-1,7148.8
hydraulic_system,2014-09-2,7864.4
cooling_system,2014-11-1,8118.2
transmission_drive_system,2015-03-2,8757.9
processing_cleaning_system,2015-05-2,8987.4
air_system,2015-10-2,9876.0
fuel_system,2016-01-3,10386.1
engine_system,2016-03-3,10732.9
electrical_system,2016-12-0,11996.3
sensor_vision_system,2017-01-2,12263.8
def_system,2017-02-0,12364.4
processing_cleaning_system,2017-04-0,12586.4
auger_unloading_system,2017-04-1,12642.8
cooling_system,2018-12-2,15622.0
chassis_structural,2019-04-2,16264.1
processing_cleaning_system,2019-05-3,16475.7
engine_system,2019-08-2,16862.1
sensor_vision_system,2019-09-2,17007.7
