component_failed,failure_timestamp,operating_hours_at_failure
transmission_drive_system,2012-07-2,3820.2
electrical_system,2013-04-2,5134.2
hydraulic_system,2013-06-2,5406.6
def_system,2014-01-1,6409.2
processing_cleaning_system,2014-02-2,6647.6
air_system,2014-10-1,7798.7
auger_unloading_system,2014-11-2,8063.0
engine_system,2015-03-0,8483.1
fuel_system,2015-03-1,8528.4
sensor_vision_system,2015-05-2,8856.9
electrical_system,2015-06-1,8977.8
chassis_structural,2015-08-1,9317.9
transmission_drive_system,2015-11-0,9645.2
sensor_vision_system,2016-05-0,10681.2
processing_cleaning_system,2016-06-1,10901.2
cooling_system,2016-08-0,11148.2
def_system,2017-07-0,12913.2
air_system,2017-08-0,13061.8
auger_unloading_system,2018-06-2,14537.0
electrical_system,2018-08-3,14870.6
hydraulic_system,2018-10-0,15039.1
engine_system,2018-12-1,15442.2
chassis_structural,2018-12-2,15508.4
fuel_system,2019-06-2,16379.5
processing_cleaning_system,2019-09-2,16807.9
sensor_vision_system,2020-03-2,17807.3
