component_failed,failure_timestamp,operating_hours_at_failure
chassis_structural,2012-09-1,3835.3
processing_cleaning_system,2012-10-0,3966.7
auger_unloading_system,2012-10-2,4087.4
transmission_drive_system,2013-02-0,4657.0
electrical_system,2013-06-2,5402.0
fuel_system,2013-07-2,5535.3
engine_system,2014-07-3,7288.1
sensor_vision_system,2014-10-2,7743.8
hydraulic_system,2015-04-0,8572.7
auger_unloading_system,2015-08-1,9188.7
cooling_system,2015-08-1,9209.9
def_system,2015-09-0,9277.9
electrical_system,2015-10-1,9496.2
processing_cleaning_system,2015-11-1,9682.1
air_system,2016-04-1,10336.7
def_system,2017-04-0,12146.8
auger_unloading_system,2018-03-1,13931.1
chassis_structural,2018-05-0,14206.3
sensor_vision_system,2018-09-0,14814.3
processing_cleaning_system,2018-09-2,14893.8
cooling_system,2018-11-2,15162.9
electrical_system,2019-03-2,15791.6
fuel_system,2019-06-2,16226.9
def_system,2019-12-2,17216.5
sensor_vision_system,2020-03-2,17586.3
