component_failed,failure_timestamp,operating_hours_at_failure
cooling_system,2012-07-2,3624.3
air_system,2012-12-1,4293.7
def_system,2013-05-0,5004.6
sensor_vision_system,2013-05-2,5070.2
fuel_system,2013-07-0,5350.8
processing_cleaning_system,2013-11-1,6040.3
auger_unloading_system,2013-12-3,6307.5
sensor_vision_system,2014-11-1,7893.8
electrical_system,2015-03-2,8569.8
transmission_drive_system,2015-07-0,9073.0
chassis_structural,2015-08-0,9190.5
processing_cleaning_system,2015-09-2,9504.2
cooling_system,2015-10-1,9581.5
hydraulic_system,2016-01-3,10096.7
def_system,2016-09-1,11243.1
air_system,2017-01-0,11726.5
engine_system,2017-03-2,12189.9
auger_unloading_system,2017-06-2,12496.5
processing_cleaning_system,2017-09-0,12796.7
transmission_drive_system,2018-06-0,14158.0
cooling_system,2018-07-0,14333.1
auger_unloading_system,2018-08-2,14619.4
hydraulic_system,2018-11-0,15016.1
fuel_system,2018-11-0,15050.6
electrical_system,2018-11-2,15170.2
air_system,2019-02-2,15644.2
def_system,2019-05-2,16070.1
sensor_vision_system,2019-06-2,16262.1
processing_cleaning_system,2020-03-1,17659.2
