component_failed,failure_timestamp,operating_hours_at_failure
def_system,2012-04-1,3341.6
cooling_system,2012-09-2,4248.4
engine_system,2013-01-0,4875.2
processing_cleaning_system,2013-02-0,5010.0
air_system,2013-06-0,5673.6
fuel_system,2013-08-2,6039.2
auger_unloading_system,2013-09-1,6126.7
sensor_vision_system,2014-06-2,7534.7
hydraulic_system,2014-09-0,7908.4
electrical_system,2014-09-1,7977.0
chassis_structural,2014-12-1,8440.7
processing_cleaning_system,2015-08-1,9745.9
def_system,2015-09-1,9893.6
auger_unloading_system,2016-03-3,10803.8
sensor_vision_system,2016-03-3,10803.8
fuel_system,2016-08-0,11511.6
transmission_drive_system,2016-11-2,12033.1
cooling_system,2017-01-0,12136.3
electrical_system,2017-09-0,13314.7
def_system,2017-11-0,13639.6
sensor_vision_system,2018-03-0,14267.5
air_system,2018-05-0,14552.0
auger_unloading_system,2018-07-3,15004.9
processing_cleaning_system,2018-10-2,15454.7
def_system,2019-01-2,15911.5
engine_system,2019-04-2,16329.5
