component_failed,failure_timestamp,operating_hours_at_failure
processing_cleaning_system,2011-11-0,2505.2
sensor_vision_system,2011-12-0,2693.5
electrical_system,2013-01-2,4655.0
transmission_drive_system,2013-02-1,4745.4
chassis_structural,2013-02-1,4745.4
fuel_system,2013-03-2,4933.1
auger_unloading_system,2013-04-2,5075.8
air_system,2013-09-1,5773.2
processing_cleaning_system,2013-11-2,6174.9
sensor_vision_system,2014-06-0,7196.2
def_system,2014-10-2,7977.0
hydraulic_system,2015-04-1,8757.4
fuel_system,2015-05-0,8814.3
cooling_system,2015-05-1,8852.2
engine_system,2015-09-1,9488.2
auger_unloading_system,2016-03-3,10273.0
electrical_system,2016-08-1,11001.0
processing_cleaning_system,2016-11-0,11386.4
transmission_drive_system,2016-11-0,11446.8
fuel_system,2017-03-0,12033.8
air_system,2017-09-0,13028.1
hydraulic_system,2017-11-2,13404.4
sensor_vision_system,2017-12-0,13461.2
chassis_structural,2018-02-0,13798.3
engine_system,2019-02-0,15418.5
def_system,2019-06-3,16176.4
fuel_system,2019-09-0,16575.8
sensor_vision_system,2019-09-2,16685.7
processing_cleaning_system,2019-11-2,17013.8
auger_unloading_system,2019-12-1,17061.6
