component_failed,failure_timestamp,operating_hours_at_failure
engine_system,2011-06,1655
def_system,2011-10,2253
auger_unloading_system,2012-05,3335
chassis_structural,2012-05,3479
processing_cleaning_system,2012-08,3819
electrical_system,2012-12,4466
sensor_vision_system,2013-07,5642
cooling_system,2013-09,5886
processing_cleaning_system,2013-10,6078
electrical_system,2014-05,7212
processing_cleaning_system,2014-07,7522
transmission_drive_system,2014-08,7540
auger_unloading_system,2014-09,7720
fuel_system,2015-02,8477
hydraulic_system,2015-07,9322
def_system,2015-12,10073
sensor_vision_system,2016-01,10369
chassis_structural,2016-01,10369
air_system,2016-03,10684
engine_system,2016-06,11116
auger_unloading_system,2016-10,11651
hydraulic_system,2017-03,12449
processing_cleaning_system,2017-06,12928
cooling_system,2018-01,13872
electrical_system,2018-04,14369
fuel_system,2018-05,14518
transmission_drive_system,2019-05,16320
processing_cleaning_system,2019-08,16681
auger_unloading_system,2019-09,17002
sensor_vision_system,2020-01,17498
def_system,2020-03,17887
