component_failed,failure_timestamp,operating_hours_at_failure
processing_cleaning_system,2011-08,2090
def_system,2012-03,3065
engine_system,2012-11,4345
electrical_system,2013-01,4570
fuel_system,2013-10,5937
hydraulic_system,2014-01,6463
cooling_system,2014-02,6675
processing_cleaning_system,2014-06,7242
sensor_vision_system,2014-12,8023
auger_unloading_system,2015-02,8304
air_system,2015-02,8320
def_system,2015-07,9061
cooling_system,2016-01,9975
sensor_vision_system,2016-04,10312
transmission_drive_system,2016-06,10618
def_system,2016-07,10770
chassis_structural,2016-07,10800
electrical_system,2016-08,10934
engine_system,2016-09,11032
processing_cleaning_system,2016-12,11489
fuel_system,2016-12,11524
processing_cleaning_system,2017-06,12421
air_system,2017-12,13325
def_system,2018-06,14091
auger_unloading_system,2018-06,14132
cooling_system,2019-07,15990
hydraulic_system,2019-08,16105
sensor_vision_system,2019-09,16243
processing_cleaning_system,2019-11,16600
electrical_system,2019-12,16667
