component_failed,failure_timestamp,operating_hours_at_failure
transmission_drive_system,2011-10,2529
hydraulic_system,2012-03,3141
processing_cleaning_system,2012-04,3241
auger_unloading_system,2012-05,3408
air_system,2013-04,5045
def_system,2013-11,6255
cooling_system,2014-03,6791
sensor_vision_system,2014-04,6974
processing_cleaning_system,2014-10,7785
chassis_structural,2015-03,8639
electrical_system,2015-03,8653
fuel_system,2015-04,8690
processing_cleaning_system,2015-06,9059
auger_unloading_system,2015-08,9364
engine_system,2016-03,10426
cooling_system,2016-03,10426
processing_cleaning_system,2017-05,12520
sensor_vision_system,2017-05,12520
def_system,2017-08,13054
hydraulic_system,2017-10,13367
air_system,2017-10,13414
auger_unloading_system,2018-05,14352
electrical_system,2018-06,14614
chassis_structural,2018-08,14812
transmission_drive_system,2019-04,15958
sensor_vision_system,2020-01,17154
def_system,2020-02,17385
