component_failed,failure_timestamp,operating_hours_at_failure
processing_cleaning_system,2010-12,868
electrical_system,2012-06,3536
auger_unloading_system,2012-11,4317
sensor_vision_system,2013-04,5104
processing_cleaning_system,2013-04,5127
def_system,2013-06,5482
air_system,2013-10,6018
sensor_vision_system,2014-02,6620
cooling_system,2014-06,7339
engine_system,2014-12,8239
hydraulic_system,2015-01,8277
fuel_system,2015-02,8462
electrical_system,2015-05,9025
auger_unloading_system,2015-05,9025
air_system,2016-02,10324
sensor_vision_system,2016-04,10615
processing_cleaning_system,2016-07,11104
auger_unloading_system,2016-07,11163
def_system,2017-02,12174
fuel_system,2017-03,12210
hydraulic_system,2017-05,12627
transmission_drive_system,2017-11,13539
engine_system,2018-01,13845
chassis_structural,2018-01,13919
processing_cleaning_system,2018-10,15383
auger_unloading_system,2018-11,15586
cooling_system,2018-12,15643
electrical_system,2019-06,16754
fuel_system,2020-04,18424
