component_failed,failure_timestamp,operating_hours_at_failure
hydraulic_system,2012-03,3246
cooling_system,2012-05,3479
processing_cleaning_system,2012-09,4039
fuel_system,2012-09,4163
sensor_vision_system,2012-10,4193
air_system,2014-01,6522
def_system,2014-01,6559
auger_unloading_system,2014-03,6809
engine_system,2014-03,6941
chassis_structural,2015-03,8848
processing_cleaning_system,2015-05,9050
fuel_system,2015-08,9512
hydraulic_system,2015-09,9802
cooling_system,2015-10,9838
transmission_drive_system,2015-10,9957
electrical_system,2015-11,10144
auger_unloading_system,2016-03,10711
transmission_drive_system,2016-12,12149
def_system,2017-08,13266
processing_cleaning_system,2017-08,13397
engine_system,2017-12,13993
sensor_vision_system,2018-05,14698
auger_unloading_system,2018-06,14712
air_system,2018-08,15122
fuel_system,2018-12,15716
electrical_system,2019-12,17623
cooling_system,2019-12,17653
