component_failed,failure_timestamp,operating_hours_at_failure
sensor_vision_system,2012-07,3851
processing_cleaning_system,2012-09,4212
fuel_system,2012-11,4467
cooling_system,2013-02,5008
def_system,2013-10,6256
processing_cleaning_system,2015-01,8517
electrical_system,2015-06,9269
sensor_vision_system,2015-07,9388
engine_system,2015-07,9444
auger_unloading_system,2015-08,9484
hydraulic_system,2015-08,9543
def_system,2016-02,10369
air_system,2017-02,12328
chassis_structural,2017-03,12416
transmission_drive_system,2017-03,12578
auger_unloading_system,2017-07,13068
cooling_system,2017-07,13192
electrical_system,2017-07,13192
sensor_vision_system,2017-09,13395
processing_cleaning_system,2018-02,14315
hydraulic_system,2018-08,15258
fuel_system,2018-10,15410
def_system,2019-01,15968
auger_unloading_system,2019-11,17476
