component_failed,failure_timestamp,operating_hours_at_failure
hydraulic_system,2010-11,681
processing_cleaning_system,2012-07,3832
fuel_system,2013-01,4847
auger_unloading_system,2013-03,5136
electrical_system,2013-04,5230
sensor_vision_system,2013-07,5581
cooling_system,2013-10,6155
def_system,2014-10,7890
processing_cleaning_system,2015-02,8376
transmission_drive_system,2015-03,8631
cooling_system,2015-06,9077
fuel_system,2016-04,10622
chassis_structural,2016-04,10667
air_system,2016-09,11314
engine_system,2016-10,11409
processing_cleaning_system,2016-10,11517
sensor_vision_system,2016-11,11669
hydraulic_system,2016-12,11790
electrical_system,2017-06,12806
auger_unloading_system,2017-10,13349
def_system,2018-01,13878
sensor_vision_system,2019-11,16863
processing_cleaning_system,2019-11,16879
engine_system,2019-11,16929
electrical_system,2019-12,16995
