component_failed,failure_timestamp,operating_hours_at_failure
sensor_vision_system,2011-12,2657
sensor_vision_system,2012-11,4258
cooling_system,2012-12,4523
chassis_structural,2013-03,4877
processing_cleaning_system,2013-04,5120
fuel_system,2013-10,6098
auger_unloading_system,2014-01,6528
air_system,2014-02,6723
def_system,2014-05,7182
electrical_system,2014-07,7463
engine_system,2014-09,7778
transmission_drive_system,2015-01,8231
hydraulic_system,2015-05,8914
air_system,2015-06,9065
processing_cleaning_system,2015-08,9261
fuel_system,2015-12,9823
electrical_system,2016-01,10057
sensor_vision_system,2016-01,10057
def_system,2016-03,10385
cooling_system,2016-07,10920
processing_cleaning_system,2017-07,12795
engine_system,2017-09,13083
sensor_vision_system,2018-01,13711
chassis_structural,2018-03,14139
def_system,2018-04,14261
auger_unloading_system,2018-05,14370
processing_cleaning_system,2019-07,16353
hydraulic_system,2019-07,16370
def_system,2019-10,16743
cooling_system,2020-02,17336
