component_failed,failure_timestamp,operating_hours_at_failure
chassis_structural,2012-09,3835
processing_cleaning_system,2012-10,3966
auger_unloading_system,2012-10,4087
transmission_drive_system,2013-02,4657
electrical_system,2013-06,5402
fuel_system,2013-07,5535
engine_system,2014-07,7288
sensor_vision_system,2014-10,7743
hydraulic_system,2015-04,8572
auger_unloading_system,2015-08,9188
cooling_system,2015-08,9209
def_system,2015-09,9277
electrical_system,2015-10,9496
processing_cleaning_system,2015-11,9682
air_system,2016-04,10336
def_system,2017-04,12146
auger_unloading_system,2018-03,13931
chassis_structural,2018-05,14206
sensor_vision_system,2018-09,14814
processing_cleaning_system,2018-09,14893
cooling_system,2018-11,15162
electrical_system,2019-03,15791
fuel_system,2019-06,16226
def_system,2019-12,17216
sensor_vision_system,2020-03,17586
