component_failed,failure_timestamp,operating_hours_at_failure
processing_cleaning_system,2012-08,3788
auger_unloading_system,2013-03,4803
electrical_system,2013-04,4936
air_system,2013-05,5078
fuel_system,2013-07,5372
sensor_vision_system,2014-01,6213
def_system,2014-08,7437
auger_unloading_system,2014-11,7895
hydraulic_system,2015-01,8294
engine_system,2015-03,8590
cooling_system,2015-04,8612
processing_cleaning_system,2015-04,8692
electrical_system,2016-03,10442
auger_unloading_system,2016-04,10498
fuel_system,2016-09,11337
def_system,2016-10,11520
processing_cleaning_system,2016-12,11835
transmission_drive_system,2017-01,12106
chassis_structural,2017-09,13358
sensor_vision_system,2018-03,14307
hydraulic_system,2018-06,14848
air_system,2018-09,15365
cooling_system,2019-03,16216
sensor_vision_system,2019-11,17466
engine_system,2020-01,17750
processing_cleaning_system,2020-04,18215
