component_failed,failure_timestamp,operating_hours_at_failure
cooling_system,2012-02,2965
processing_cleaning_system,2012-12,4427
electrical_system,2013-04,5054
sensor_vision_system,2013-05,5277
auger_unloading_system,2013-05,5333
def_system,2013-08,5678
hydraulic_system,2014-11,8021
processing_cleaning_system,2015-03,8616
def_system,2015-07,9174
chassis_structural,2015-08,9473
engine_system,2015-09,9563
air_system,2015-10,9659
fuel_system,2015-10,9728
sensor_vision_system,2015-11,9869
cooling_system,2016-07,11066
auger_unloading_system,2016-10,11612
sensor_vision_system,2016-11,11734
transmission_drive_system,2017-05,12464
electrical_system,2018-01,13771
processing_cleaning_system,2018-03,14066
def_system,2018-06,14587
fuel_system,2018-08,14990
engine_system,2019-02,15898
auger_unloading_system,2019-03,16045
hydraulic_system,2019-03,16121
air_system,2019-12,17518
