component_failed,failure_timestamp,operating_hours_at_failure
sensor_vision_system,2013-03,5139
auger_unloading_system,2013-04,5391
electrical_system,2013-04,5446
hydraulic_system,2013-06,5759
processing_cleaning_system,2013-06,5766
transmission_drive_system,2014-07,7758
processing_cleaning_system,2014-07,7829
def_system,2014-08,7898
engine_system,2014-10,8203
fuel_system,2014-10,8218
chassis_structural,2014-12,8587
cooling_system,2015-02,8867
sensor_vision_system,2015-10,10167
electrical_system,2016-04,11044
auger_unloading_system,2016-06,11236
air_system,2016-08,11536
processing_cleaning_system,2017-03,12561
hydraulic_system,2017-07,13084
def_system,2017-12,13728
sensor_vision_system,2017-12,13829
fuel_system,2018-03,14155
auger_unloading_system,2018-03,14194
transmission_drive_system,2018-11,15356
electrical_system,2018-12,15540
chassis_structural,2019-07,16605
processing_cleaning_system,2020-03,17775
engine_system,2020-03,17884
