component_failed,failure_timestamp,operating_hours_at_failure
processing_cleaning_system,2011-08,2088
def_system,2013-03,5091
processing_cleaning_system,2013-05,5412
engine_system,2013-06,5470
transmission_drive_system,2014-01,6647
fuel_system,2014-05,7215
sensor_vision_system,2014-06,7274
air_system,2014-06,7304
def_system,2014-08,7637
auger_unloading_system,2014-09,7928
electrical_system,2014-10,8142
hydraulic_system,2014-12,8433
chassis_structural,2015-02,8736
cooling_system,2015-12,10169
transmission_drive_system,2016-09,11551
sensor_vision_system,2016-09,11613
electrical_system,2017-04,12545
processing_cleaning_system,2017-08,13287
chassis_structural,2017-09,13445
def_system,2018-01,14086
auger_unloading_system,2018-01,14126
fuel_system,2018-08,14954
transmission_drive_system,2019-02,15913
air_system,2019-08,16777
processing_cleaning_system,2019-11,17164
hydraulic_system,2020-01,17555
electrical_system,2020-03,17822
engine_system,2020-03,17932
