component_failed,failure_timestamp,operating_hours_at_failure
processing_cleaning_system,2012-11,4490
auger_unloading_system,2013-05,5426
chassis_structural,2013-06,5491
electrical_system,2013-06,5496
fuel_system,2013-09,5985
cooling_system,2013-10,6169
sensor_vision_system,2013-12,6469
processing_cleaning_system,2014-04,7027
hydraulic_system,2014-09,7760
def_system,2014-10,7930
air_system,2014-12,8232
electrical_system,2015-06,9238
engine_system,2015-07,9306
cooling_system,2015-08,9564
transmission_drive_system,2016-01,10273
auger_unloading_system,2016-01,10273
sensor_vision_system,2017-06,12794
fuel_system,2018-03,14075
auger_unloading_system,2018-03,14152
sensor_vision_system,2018-04,14326
processing_cleaning_system,2018-05,14425
def_system,2018-05,14464
electrical_system,2018-07,14739
air_system,2018-12,15406
cooling_system,2019-08,16749
chassis_structural,2019-10,17118
engine_system,2020-02,17671
hydraulic_system,2020-02,17789
