component_failed,failure_timestamp,operating_hours_at_failure
cooling_system,2012-07,3624
air_system,2012-12,4293
def_system,2013-05,5004
sensor_vision_system,2013-05,5070
fuel_system,2013-07,5350
processing_cleaning_system,2013-11,6040
auger_unloading_system,2013-12,6307
sensor_vision_system,2014-11,7893
electrical_system,2015-03,8569
transmission_drive_system,2015-07,9073
chassis_structural,2015-08,9190
processing_cleaning_system,2015-09,9504
cooling_system,2015-10,9581
hydraulic_system,2016-01,10096
def_system,2016-09,11243
air_system,2017-01,11726
engine_system,2017-03,12189
auger_unloading_system,2017-06,12496
processing_cleaning_system,2017-09,12796
transmission_drive_system,2018-06,14158
cooling_system,2018-07,14333
auger_unloading_system,2018-08,14619
hydraulic_system,2018-11,15016
fuel_system,2018-11,15050
electrical_system,2018-11,15170
air_system,2019-02,15644
def_system,2019-05,16070
sensor_vision_system,2019-06,16262
processing_cleaning_system,2020-03,17659
