component_failed,failure_timestamp,operating_hours_at_failure
processing_cleaning_system,2012-04,3391
electrical_system,2012-06,3669
sensor_vision_system,2012-07,3740
auger_unloading_system,2013-03,5010
cooling_system,2013-04,5167
fuel_system,2013-11,6153
def_system,2014-02,6711
electrical_system,2014-02,6718
air_system,2014-06,7277
processing_cleaning_system,2014-09,7710
engine_system,2014-10,8008
auger_unloading_system,2015-09,9587
sensor_vision_system,2015-11,9934
hydraulic_system,2016-03,10543
chassis_structural,2016-06,10929
transmission_drive_system,2016-10,11533
electrical_system,2017-03,12124
processing_cleaning_system,2017-06,12463
fuel_system,2017-06,12569
auger_unloading_system,2017-08,12856
sensor_vision_system,2017-09,12962
def_system,2018-08,14757
auger_unloading_system,2018-09,14904
hydraulic_system,2018-09,15003
engine_system,2019-02,15691
cooling_system,2019-04,15966
air_system,2019-04,15982
sensor_vision_system,2019-12,17257
processing_cleaning_system,2020-02,17556
def_system,2020-02,17653
electrical_system,2020-03,17725
