component_failed,failure_timestamp,operating_hours_at_failure
transmission_drive_system,2012-07,3820
electrical_system,2013-04,5134
hydraulic_system,2013-06,5406
def_system,2014-01,6409
processing_cleaning_system,2014-02,6647
air_system,2014-10,7798
auger_unloading_system,2014-11,8063
engine_system,2015-03,8483
fuel_system,2015-03,8528
sensor_vision_system,2015-05,8856
electrical_system,2015-06,8977
chassis_structural,2015-08,9317
transmission_drive_system,2015-11,9645
sensor_vision_system,2016-05,10681
processing_cleaning_system,2016-06,10901
cooling_system,2016-08,11148
def_system,2017-07,12913
air_system,2017-08,13061
auger_unloading_system,2018-06,14537
electrical_system,2018-08,14870
hydraulic_system,2018-10,15039
engine_system,2018-12,15442
chassis_structural,2018-12,15508
fuel_system,2019-06,16379
processing_cleaning_system,2019-09,16807
sensor_vision_system,2020-03,17807
