component_failed,failure_timestamp,operating_hours_at_failure
auger_unloading_system,2012-04,3098
cooling_system,2013-07,5397
air_system,2013-08,5426
processing_cleaning_system,2013-09,5610
transmission_drive_system,2014-02,6471
engine_system,2014-02,6598
sensor_vision_system,2014-03,6634
electrical_system,2014-07,7366
fuel_system,2014-10,7894
processing_cleaning_system,2014-11,8055
auger_unloading_system,2014-12,8100
chassis_structural,2015-04,8749
def_system,2015-05,8953
auger_unloading_system,2016-01,10147
engine_system,2016-03,10469
sensor_vision_system,2016-03,10469
hydraulic_system,2016-08,11172
cooling_system,2016-10,11525
fuel_system,2016-12,11832
processing_cleaning_system,2017-12,13541
hydraulic_system,2018-01,13724
electrical_system,2018-05,14153
engine_system,2018-07,14606
auger_unloading_system,2018-10,14954
def_system,2018-11,15103
processing_cleaning_system,2019-06,16023
transmission_drive_system,2019-08,16468
cooling_system,2019-09,16705
sensor_vision_system,2019-10,16808
air_system,2019-12,17149
