component_failed,failure_timestamp,operating_hours_at_failure
processing_cleaning_system,2011-06,1927
hydraulic_system,2012-06,3871
auger_unloading_system,2012-08,4145
def_system,2013-05,5552
sensor_vision_system,2013-06,5745
processing_cleaning_system,2013-06,5755
fuel_system,2013-08,6114
cooling_system,2013-09,6265
engine_system,2014-03,7154
electrical_system,2014-08,7910
hydraulic_system,2015-02,8783
auger_unloading_system,2015-07,9557
air_system,2015-09,9832
chassis_structural,2015-09,9840
processing_cleaning_system,2016-01,10517
transmission_drive_system,2016-03,10756
def_system,2016-04,10784
sensor_vision_system,2016-06,11220
air_system,2018-01,13944
auger_unloading_system,2018-02,14070
electrical_system,2018-04,14283
cooling_system,2018-05,14467
processing_cleaning_system,2018-11,15429
hydraulic_system,2019-04,16149
fuel_system,2019-05,16230
chassis_structural,2019-06,16438
def_system,2019-12,17297
