component_failed,failure_timestamp,operating_hours_at_failure
electrical_system,2013-01,4393
sensor_vision_system,2013-06,5163
processing_cleaning_system,2013-09,5734
engine_system,2013-11,6067
hydraulic_system,2013-11,6091
air_system,2014-10,7730
auger_unloading_system,2014-12,8024
def_system,2015-02,8385
chassis_structural,2015-04,8713
transmission_drive_system,2015-06,8962
cooling_system,2016-07,10726
sensor_vision_system,2016-11,11562
electrical_system,2017-01,11732
fuel_system,2017-05,12408
processing_cleaning_system,2017-10,13313
hydraulic_system,2018-02,13914
auger_unloading_system,2018-05,14274
cooling_system,2018-06,14423
def_system,2018-08,14643
air_system,2019-01,15510
sensor_vision_system,2019-02,15673
auger_unloading_system,2019-03,15740
processing_cleaning_system,2019-07,16362
engine_system,2019-10,16832
transmission_drive_system,2019-12,17193
