component_failed,failure_timestamp,operating_hours_at_failure
processing_cleaning_system,2012-04,3277
sensor_vision_system,2012-07,3832
transmission_drive_system,2013-02,5007
def_system,2013-03,5238
engine_system,2013-06,5690
auger_unloading_system,2013-07,5740
fuel_system,2013-07,5813
cooling_system,2013-09,6185
processing_cleaning_system,2014-06,7524
processing_cleaning_system,2015-11,10080
air_system,2015-12,10150
sensor_vision_system,2015-12,10185
hydraulic_system,2015-12,10213
electrical_system,2015-12,10235
auger_unloading_system,2016-05,10986
chassis_structural,2016-06,11030
def_system,2016-06,11043
cooling_system,2016-09,11580
transmission_drive_system,2016-12,11959
engine_system,2017-02,12306
processing_cleaning_system,2017-12,13758
electrical_system,2018-05,14545
fuel_system,2018-05,14577
hydraulic_system,2018-09,15091
sensor_vision_system,2019-04,15911
def_system,2019-10,16927
processing_cleaning_system,2019-10,16945
cooling_system,2020-03,17608
