component_failed,failure_timestamp,operating_hours_at_failure
def_system,2012-05,3435
processing_cleaning_system,2013-01,4757
auger_unloading_system,2013-02,4766
chassis_structural,2013-10,6121
electrical_system,2013-11,6204
def_system,2014-04,7046
sensor_vision_system,2014-05,7148
hydraulic_system,2014-09,7864
cooling_system,2014-11,8118
transmission_drive_system,2015-03,8757
processing_cleaning_system,2015-05,8987
air_system,2015-10,9876
fuel_system,2016-01,10386
engine_system,2016-03,10732
electrical_system,2016-12,11996
sensor_vision_system,2017-01,12263
def_system,2017-02,12364
processing_cleaning_system,2017-04,12586
auger_unloading_system,2017-04,12642
cooling_system,2018-12,15622
chassis_structural,2019-04,16264
processing_cleaning_system,2019-05,16475
engine_system,2019-08,16862
sensor_vision_system,2019-09,17007
