component_failed,failure_timestamp,operating_hours_at_failure
processing_cleaning_system,2012-04,3374
fuel_system,2013-06,5571
def_system,2013-08,5903
cooling_system,2014-01,6491
auger_unloading_system,2014-02,6751
sensor_vision_system,2014-03,6855
processing_cleaning_system,2014-07,7374
transmission_drive_system,2015-11,9949
air_system,2016-02,10283
fuel_system,2016-03,10567
electrical_system,2016-03,10567
cooling_system,2016-04,10643
def_system,2016-07,11168
chassis_structural,2016-10,11525
engine_system,2016-10,11578
sensor_vision_system,2016-12,11959
auger_unloading_system,2017-03,12285
hydraulic_system,2017-03,12387
processing_cleaning_system,2017-09,13236
fuel_system,2017-11,13563
engine_system,2018-07,14763
processing_cleaning_system,2018-08,14959
def_system,2019-07,16535
cooling_system,2019-07,16631
air_system,2019-08,16814
