component_failed,failure_timestamp,operating_hours_at_failure
processing_cleaning_system,2012-02,3154
auger_unloading_system,2012-04,3471
cooling_system,2013-01,4790
electrical_system,2013-07,5713
chassis_structural,2013-11,6291
air_system,2014-01,6579
sensor_vision_system,2014-03,6745
def_system,2014-04,6944
processing_cleaning_system,2014-04,7005
engine_system,2014-09,7795
hydraulic_system,2015-04,8772
auger_unloading_system,2015-07,9218
fuel_system,2015-11,9772
cooling_system,2016-07,11151
sensor_vision_system,2016-11,11474
air_system,2017-02,11954
processing_cleaning_system,2017-05,12402
engine_system,2017-07,12828
hydraulic_system,2017-12,13487
def_system,2018-01,13731
fuel_system,2018-02,13874
chassis_structural,2018-02,13933
electrical_system,2018-06,14536
transmission_drive_system,2018-08,14802
sensor_vision_system,2018-08,14818
auger_unloading_system,2019-07,16460
cooling_system,2019-12,17240
