component_failed,failure_timestamp,operating_hours_at_failure
def_system,2010-07,152
hydraulic_system,2012-03,3095
auger_unloading_system,2012-12,4445
processing_cleaning_system,2013-03,5051
def_system,2013-08,5779
transmission_drive_system,2013-09,5828
electrical_system,2014-07,7465
fuel_system,2014-08,7523
sensor_vision_system,2014-09,7703
processing_cleaning_system,2014-09,7719
chassis_structural,2014-09,7727
engine_system,2015-03,8607
auger_unloading_system,2015-12,9960
processing_cleaning_system,2015-12,9985
air_system,2016-05,10633
fuel_system,2016-07,10972
def_system,2017-01,11942
hydraulic_system,2017-02,12048
electrical_system,2017-02,12108
sensor_vision_system,2017-07,12821
cooling_system,2017-08,12939
transmission_drive_system,2017-10,13316
auger_unloading_system,2018-01,13666
def_system,2019-02,15828
auger_unloading_system,2019-05,16342
processing_cleaning_system,2019-07,16641
engine_system,2020-01,17556
