component_failed,failure_timestamp,operating_hours_at_failure
def_system,2012-06,3609
electrical_system,2013-02,4958
fuel_system,2013-06,5529
cooling_system,2013-09,6046
processing_cleaning_system,2013-10,6209
engine_system,2013-12,6466
auger_unloading_system,2014-05,7312
def_system,2014-10,8064
processing_cleaning_system,2014-11,8163
sensor_vision_system,2014-12,8258
hydraulic_system,2014-12,8287
processing_cleaning_system,2015-12,10173
sensor_vision_system,2016-03,10660
air_system,2016-07,11183
auger_unloading_system,2016-09,11593
transmission_drive_system,2016-09,11634
engine_system,2016-09,11668
cooling_system,2016-10,11771
electrical_system,2017-05,12715
def_system,2018-01,13964
fuel_system,2018-04,14421
chassis_structural,2018-06,14710
processing_cleaning_system,2018-07,15002
sensor_vision_system,2019-06,16579
auger_unloading_system,2019-11,17214
engine_system,2020-04,18014
