component_failed,failure_timestamp,operating_hours_at_failure
auger_unloading_system,2011-09,2254
processing_cleaning_system,2013-02,4819
hydraulic_system,2013-07,5567
sensor_vision_system,2013-09,5892
transmission_drive_system,2014-01,6317
air_system,2014-03,6637
auger_unloading_system,2014-03,6775
def_system,2014-06,7176
fuel_system,2014-09,7621
electrical_system,2014-10,7688
cooling_system,2014-11,7847
engine_system,2014-12,7971
processing_cleaning_system,2015-05,8875
cooling_system,2015-11,9837
sensor_vision_system,2016-02,10235
chassis_structural,2016-05,10590
def_system,2016-10,11515
processing_cleaning_system,2017-02,12042
engine_system,2017-08,12820
hydraulic_system,2017-12,13465
auger_unloading_system,2018-02,13781
electrical_system,2018-03,13950
sensor_vision_system,2018-05,14232
cooling_system,2018-09,14875
air_system,2019-09,16886
processing_cleaning_system,2019-09,16993
sensor_vision_system,2019-10,17050
cooling_system,2019-10,17172
auger_unloading_system,2020-01,17640
air_system,2020-01,17655
engine_system,2020-02,17741
def_system,2020-02,17851
