component_failed,failure_timestamp,operating_hours_at_failure
auger_unloading_system,2012-07,3781
sensor_vision_system,2013-05,5222
engine_system,2013-09,5956
cooling_system,2014-02,6699
electrical_system,2014-03,6836
hydraulic_system,2014-06,7363
processing_cleaning_system,2014-06,7387
fuel_system,2014-09,7834
def_system,2014-11,8229
transmission_drive_system,2014-11,8290
air_system,2014-12,8449
auger_unloading_system,2015-09,9725
processing_cleaning_system,2016-12,11961
sensor_vision_system,2017-03,12381
engine_system,2017-04,12520
electrical_system,2017-07,13146
auger_unloading_system,2017-12,14001
def_system,2018-05,14596
transmission_drive_system,2018-05,14710
air_system,2018-08,15032
chassis_structural,2018-08,15078
cooling_system,2018-10,15342
hydraulic_system,2019-06,16585
processing_cleaning_system,2019-07,16793
fuel_system,2019-07,16823
sensor_vision_system,2019-12,17589
