component_failed,failure_timestamp,operating_hours_at_failure
processing_cleaning_system,2011-07,1827
auger_unloading_system,2011-12,2631
electrical_system,2012-05,3425
auger_unloading_system,2013-02,4768
processing_cleaning_system,2013-04,5088
def_system,2013-07,5472
cooling_system,2013-12,6258
chassis_structural,2014-03,6725
air_system,2014-05,6945
sensor_vision_system,2014-08,7492
cooling_system,2015-01,8071
fuel_system,2015-03,8278
auger_unloading_system,2015-06,8750
processing_cleaning_system,2015-07,8924
hydraulic_system,2015-10,9476
def_system,2016-03,10245
electrical_system,2016-08,11129
sensor_vision_system,2017-01,11788
def_system,2017-02,11904
engine_system,2017-06,12571
transmission_drive_system,2018-01,13625
processing_cleaning_system,2018-10,15155
auger_unloading_system,2018-11,15303
air_system,2018-11,15372
fuel_system,2019-08,16639
cooling_system,2019-08,16690
