component_failed,failure_timestamp,operating_hours_at_failure
processing_cleaning_system,2011-11,2505
sensor_vision_system,2011-12,2693
electrical_system,2013-01,4655
transmission_drive_system,2013-02,4745
chassis_structural,2013-02,4745
fuel_system,2013-03,4933
auger_unloading_system,2013-04,5075
air_system,2013-09,5773
processing_cleaning_system,2013-11,6174
sensor_vision_system,2014-06,7196
def_system,2014-10,7977
hydraulic_system,2015-04,8757
fuel_system,2015-05,8814
cooling_system,2015-05,8852
engine_system,2015-09,9488
auger_unloading_system,2016-03,10273
electrical_system,2016-08,11001
processing_cleaning_system,2016-11,11386
transmission_drive_system,2016-11,11446
fuel_system,2017-03,12033
air_system,2017-09,13028
hydraulic_system,2017-11,13404
sensor_vision_system,2017-12,13461
chassis_structural,2018-02,13798
engine_system,2019-02,15418
def_system,2019-06,16176
fuel_system,2019-09,16575
sensor_vision_system,2019-09,16685
processing_cleaning_system,2019-11,17013
auger_unloading_system,2019-12,17061
