component_failed,failure_timestamp,operating_hours_at_failure
fuel_system,2011-09,2228
def_system,2012-06,3683
auger_unloading_system,2013-05,5141
electrical_system,2013-08,5650
processing_cleaning_system,2013-10,5963
cooling_system,2014-02,6496
sensor_vision_system,2014-04,6810
air_system,2014-07,7150
transmission_drive_system,2015-06,8862
def_system,2015-07,8952
engine_system,2015-08,9174
fuel_system,2015-11,9646
processing_cleaning_system,2016-06,10629
auger_unloading_system,2016-06,10666
chassis_structural,2017-01,11629
electrical_system,2017-03,11904
sensor_vision_system,2017-08,12708
cooling_system,2018-04,13959
hydraulic_system,2018-05,14082
def_system,2019-01,15176
transmission_drive_system,2019-01,15219
air_system,2019-06,15993
processing_cleaning_system,2019-07,16238
auger_unloading_system,2019-10,16695
