component_failed,failure_timestamp,operating_hours_at_failure
processing_cleaning_system,2011-09,2513
auger_unloading_system,2012-07,4027
processing_cleaning_system,2013-02,4973
electrical_system,2013-02,5025
def_system,2013-12,6467
hydraulic_system,2013-12,6504
transmission_drive_system,2014-02,6917
air_system,2014-07,7731
fuel_system,2014-11,8444
cooling_system,2015-01,8640
auger_unloading_system,2015-02,8786
engine_system,2015-09,9816
processing_cleaning_system,2015-09,9900
chassis_structural,2015-11,10185
def_system,2015-11,10243
sensor_vision_system,2015-11,10252
electrical_system,2016-01,10620
auger_unloading_system,2017-01,12311
cooling_system,2017-11,13903
transmission_drive_system,2018-03,14530
air_system,2018-06,15070
sensor_vision_system,2018-06,15132
def_system,2019-02,16238
auger_unloading_system,2019-10,17456
processing_cleaning_system,2019-11,17687
electrical_system,2020-04,18303
