component_failed,failure_timestamp,operating_hours_at_failure
processing_cleaning_system,2010-12-1,868.6
electrical_system,2012-06-0,3536.1
auger_unloading_system,2012-11-0,4317.3
sensor_vision_system,2013-04-1,5104.2
processing_cleaning_system,2013-04-2,5127.6
def_system,2013-06-2,5482.0
air_system,2013-10-1,6018.6
sensor_vision_system,2014-02-1,6620.3
cooling_system,2014-06-2,7339.5
engine_system,2014-12-2,8239.5
hydraulic_system,2015-01-0,8277.1
fuel_system,2015-02-0,8462.3
electrical_system,2015-05-1,9025.1
auger_unloading_system,2015-05-1,9025.1
air_system,2016-02-1,10324.0
sensor_vision_system,2016-04-1,10615.7
processing_cleaning_system,2016-07-1,11104.0
auger_unloading_system,2016-07-2,11163.3
def_system,2017-02-2,12174.7
fuel_system,2017-03-0,12210.9
hydraulic_system,2017-05-2,12627.6
transmission_drive_system,2017-11-0,13539.3
engine_system,2018-01-0,13845.7
chassis_structural,2018-01-2,13919.0
processing_cleaning_system,2018-10-2,15383.0
auger_unloading_system,2018-11-2,15586.4
cooling_system,2018-12-0,15643.3
electrical_system,2019-06-2,16754.3
fuel_system,2020-04-2,18424.3
