component_failed,failure_timestamp,operating_hours_at_failure
def_system,2011-07-1,2040.0
sensor_vision_system,2012-02-2,3231.6
hydraulic_system,2013-03-2,5275.9
auger_unloading_system,2013-08-2,5973.6
electrical_system,2013-08-2,6010.5
processing_cleaning_system,2013-09-2,6184.3
sensor_vision_system,2013-12-1,6635.0
transmission_drive_system,2014-01-0,6758.9
hydraulic_system,2014-01-1,6778.2
def_system,2014-04-1,7262.8
engine_system,2014-09-0,7878.2
cooling_system,2014-10-3,8189.5
chassis_structural,2014-12-1,8364.2
fuel_system,2015-05-1,9208.6
auger_unloading_system,2016-06-0,11087.3
air_system,2016-06-1,11111.4
processing_cleaning_system,2016-09-2,11575.7
engine_system,2018-05-0,14408.5
auger_unloading_system,2018-05-2,14477.9
processing_cleaning_system,2018-06-2,14616.0
electrical_system,2018-07-2,14776.2
def_system,2018-08-2,14954.6
sensor_vision_system,2018-10-3,15300.1
auger_unloading_system,2019-12-1,17462.1
chassis_structural,2020-01-0,17578.5
cooling_system,2020-02-2,17827.0
fuel_system,2020-05-0,18174.5
