component_failed,failure_timestamp,operating_hours_at_failure
processing_cleaning_system,2013-02-0,4759.3
air_system,2013-02-2,4857.7
auger_unloading_system,2013-06-2,5484.9
def_system,2013-07-1,5570.0
electrical_system,2013-11-2,6222.5
transmission_drive_system,2014-02-2,6614.8
sensor_vision_system,2014-03-2,6792.3
cooling_system,2014-04-2,6972.5
fuel_system,2014-07-2,7382.6
chassis_structural,2014-09-2,7722.8
auger_unloading_system,2015-08-0,9186.7
engine_system,2016-07-1,10913.8
electrical_system,2016-07-1,10953.1
transmission_drive_system,2016-09-3,11344.2
air_system,2016-12-1,11696.4
sensor_vision_system,2017-04-0,12328.6
cooling_system,2017-04-2,12398.2
processing_cleaning_system,2017-08-1,13064.4
def_system,2018-01-1,13938.9
hydraulic_system,2018-02-1,14101.0
auger_unloading_system,2018-07-2,14988.1
chassis_structural,2019-01-0,15917.8
fuel_system,2019-01-3,16105.2
processing_cleaning_system,2019-05-2,16581.5
sensor_vision_system,2019-06-1,16723.8
electrical_system,2019-10-2,17434.9
def_system,2019-12-1,17702.8
