component_failed,failure_timestamp,operating_hours_at_failure
def_system,2012-05-2,3474.0
processing_cleaning_system,2012-12-0,4534.6
auger_unloading_system,2013-03-0,5069.9
fuel_system,2013-04-2,5310.2
sensor_vision_system,2013-05-2,5443.9
def_system,2013-10-2,6261.5
chassis_structural,2014-05-2,7279.3
air_system,2014-07-1,7558.2
electrical_system,2014-07-2,7614.6
auger_unloading_system,2014-09-2,7963.5
hydraulic_system,2015-07-0,9244.1
processing_cleaning_system,2016-04-0,10574.8
cooling_system,2016-05-1,10800.3
def_system,2016-07-1,11091.2
auger_unloading_system,2016-11-0,11724.2
transmission_drive_system,2017-03-2,12415.4
sensor_vision_system,2017-06-1,12858.2
engine_system,2017-10-2,13433.7
electrical_system,2018-02-1,13996.9
fuel_system,2018-03-2,14223.6
processing_cleaning_system,2018-08-2,14936.9
air_system,2019-07-1,16579.4
cooling_system,2019-11-0,17238.5
auger_unloading_system,2019-12-1,17437.4
hydraulic_system,2019-12-2,17460.3
chassis_structural,2020-02-1,17757.2
