component_failed,failure_timestamp,operating_hours_at_failure
processing_cleaning_system,2013-02-2,4963.9
auger_unloading_system,2013-03-2,5077.5
electrical_system,2013-07-3,5708.3
sensor_vision_system,2013-10-1,6071.3
def_system,2013-12-3,6555.8
hydraulic_system,2014-02-1,6723.6
fuel_system,2014-03-2,6971.5
cooling_system,2014-10-1,7968.5
processing_cleaning_system,2015-07-1,9257.8
fuel_system,2015-12-1,10038.5
engine_system,2016-03-3,10543.4
chassis_structural,2016-03-3,10543.4
def_system,2016-05-0,10659.6
auger_unloading_system,2016-05-0,10701.4
transmission_drive_system,2016-05-1,10767.3
electrical_system,2016-06-0,10857.5
sensor_vision_system,2016-11-0,11657.5
air_system,2017-01-3,11998.1
processing_cleaning_system,2018-05-3,14391.8
chassis_structural,2018-07-0,14625.9
cooling_system,2019-04-2,16102.2
electrical_system,2019-05-1,16175.5
sensor_vision_system,2019-05-2,16245.4
auger_unloading_system,2019-07-1,16524.0
hydraulic_system,2019-07-2,16567.9
fuel_system,2019-10-2,17073.3
