component_failed,failure_timestamp,operating_hours_at_failure
processing_cleaning_system,2011-07-0,1827.4
auger_unloading_system,2011-12-2,2631.7
electrical_system,2012-05-0,3425.2
auger_unloading_system,2013-02-1,4768.3
processing_cleaning_system,2013-04-2,5088.9
def_system,2013-07-2,5472.8
cooling_system,2013-12-1,6258.5
chassis_structural,2014-03-2,6725.3
air_system,2014-05-1,6945.8
sensor_vision_system,2014-08-2,7492.8
cooling_system,2015-01-0,8071.5
fuel_system,2015-03-0,8278.9
auger_unloading_system,2015-06-1,8750.8
processing_cleaning_system,2015-07-1,8924.9
hydraulic_system,2015-10-2,9476.3
def_system,2016-03-3,10245.0
electrical_system,2016-08-2,11129.5
sensor_vision_system,2017-01-0,11788.5
def_system,2017-02-0,11904.0
engine_system,2017-06-1,12571.6
transmission_drive_system,2018-01-0,13625.8
processing_cleaning_system,2018-10-2,15155.6
auger_unloading_system,2018-11-2,15303.2
air_system,2018-11-3,15372.1
fuel_system,2019-08-0,16639.9
cooling_system,2019-08-1,16690.8
