component_failed,failure_timestamp,operating_hours_at_failure
engine_system,2011-01-1,1098.4
chassis_structural,2012-10-0,4096.9
processing_cleaning_system,2012-10-1,4118.5
auger_unloading_system,2013-01-1,4499.9
def_system,2013-05-3,5105.6
auger_unloading_system,2013-11-1,5960.5
electrical_system,2014-06-1,6909.4
sensor_vision_system,2014-06-1,6946.2
hydraulic_system,2014-12-2,7992.1
fuel_system,2015-01-2,8153.9
cooling_system,2015-02-1,8302.1
processing_cleaning_system,2015-07-0,8974.7
chassis_structural,2016-08-0,10913.8
auger_unloading_system,2016-09-0,11089.0
fuel_system,2016-09-2,11199.1
electrical_system,2016-11-0,11356.1
def_system,2016-12-2,11640.9
engine_system,2017-07-1,12768.8
transmission_drive_system,2018-01-2,13629.9
fuel_system,2018-04-0,13963.3
sensor_vision_system,2018-08-2,14583.6
processing_cleaning_system,2018-10-0,14837.4
cooling_system,2019-01-0,15296.3
auger_unloading_system,2019-04-2,15825.3
hydraulic_system,2019-08-3,16526.6
air_system,2019-09-2,16616.0
electrical_system,2019-12-2,17068.8
