component_failed,failure_timestamp,operating_hours_at_failure
processing_cleaning_system,2011-10-0,2420.0
cooling_system,2012-04-0,3315.6
fuel_system,2012-08-1,4013.0
auger_unloading_system,2013-10-2,6127.2
transmission_drive_system,2013-11-1,6234.3
def_system,2013-12-1,6433.5
electrical_system,2014-01-1,6574.0
processing_cleaning_system,2014-01-2,6696.5
chassis_structural,2014-05-2,7186.3
sensor_vision_system,2014-06-1,7246.0
hydraulic_system,2015-05-1,8759.6
sensor_vision_system,2016-03-3,10315.7
engine_system,2016-05-0,10552.0
fuel_system,2016-09-1,11335.0
processing_cleaning_system,2016-11-0,11537.2
auger_unloading_system,2016-11-2,11629.8
air_system,2017-03-0,12111.8
def_system,2017-05-2,12523.1
cooling_system,2017-07-0,12780.4
hydraulic_system,2018-03-2,14055.3
sensor_vision_system,2018-05-2,14355.7
transmission_drive_system,2018-11-2,15268.3
air_system,2018-12-2,15428.9
auger_unloading_system,2019-01-2,15569.1
processing_cleaning_system,2019-06-2,16227.0
electrical_system,2019-07-2,16367.8
chassis_structural,2019-07-2,16374.6
