component_failed,failure_timestamp,operating_hours_at_failure
processing_cleaning_system,2011-08-3,2090.6
def_system,2012-03-2,3065.8
engine_system,2012-11-2,4345.1
electrical_system,2013-01-1,4570.4
fuel_system,2013-10-0,5937.2
hydraulic_system,2014-01-1,6463.9
cooling_system,2014-02-2,6675.5
processing_cleaning_system,2014-06-2,7242.8
sensor_vision_system,2014-12-1,8023.6
auger_unloading_system,2015-02-1,8304.7
air_system,2015-02-1,8320.9
def_system,2015-07-1,9061.9
cooling_system,2016-01-3,9975.0
sensor_vision_system,2016-04-0,10312.8
transmission_drive_system,2016-06-0,10618.7
def_system,2016-07-1,10770.7
chassis_structural,2016-07-3,10800.0
electrical_system,2016-08-2,10934.1
engine_system,2016-09-1,11032.5
processing_cleaning_system,2016-12-0,11489.0
fuel_system,2016-12-2,11524.0
processing_cleaning_system,2017-06-2,12421.3
air_system,2017-12-2,13325.5
def_system,2018-06-2,14091.4
auger_unloading_system,2018-06-2,14132.4
cooling_system,2019-07-2,15990.4
hydraulic_system,2019-08-2,16105.2
sensor_vision_system,2019-09-1,16243.2
processing_cleaning_system,2019-11-2,16600.8
electrical_system,2019-12-1,16667.8
