component_failed,failure_timestamp,operating_hours_at_failure
hydraulic_system,2012-06-2,3691.3
def_system,2012-07-2,3886.7
sensor_vision_system,2013-02-2,5030.2
auger_unloading_system,2013-04-3,5287.8
electrical_system,2013-08-2,5813.8
cooling_system,2013-08-3,5847.3
fuel_system,2013-11-2,6340.0
engine_system,2013-12-1,6448.1
processing_cleaning_system,2014-03-2,7008.7
electrical_system,2015-01-2,8432.0
auger_unloading_system,2015-05-2,9141.7
def_system,2015-07-1,9447.5
air_system,2015-08-2,9633.9
chassis_structural,2016-03-3,10692.4
processing_cleaning_system,2016-07-3,11246.7
transmission_drive_system,2016-09-0,11495.2
sensor_vision_system,2016-10-3,11695.7
electrical_system,2017-07-0,12811.8
fuel_system,2017-10-0,13237.8
auger_unloading_system,2018-03-2,14080.0
cooling_system,2018-05-2,14287.2
hydraulic_system,2018-08-2,14816.2
air_system,2018-11-2,15360.9
processing_cleaning_system,2019-04-2,16101.1
engine_system,2019-07-0,16385.7
def_system,2019-07-2,16457.8
sensor_vision_system,2019-09-1,16775.9
chassis_structural,2020-01-0,17413.6
electrical_system,2020-02-1,17682.6
air_system,2020-04-2,17953.7
