component_failed,failure_timestamp,operating_hours_at_failure
transmission_drive_system,2011-10-3,2529.2
hydraulic_system,2012-03-1,3141.3
processing_cleaning_system,2012-04-0,3241.7
auger_unloading_system,2012-05-2,3408.3
air_system,2013-04-1,5045.3
def_system,2013-11-2,6255.5
cooling_system,2014-03-2,6791.4
sensor_vision_system,2014-04-2,6974.3
processing_cleaning_system,2014-10-1,7785.6
chassis_structural,2015-03-1,8639.8
electrical_system,2015-03-2,8653.7
fuel_system,2015-04-0,8690.9
processing_cleaning_system,2015-06-2,9059.3
auger_unloading_system,2015-08-1,9364.1
engine_system,2016-03-3,10426.6
cooling_system,2016-03-3,10426.6
processing_cleaning_system,2017-05-0,12520.0
sensor_vision_system,2017-05-0,12520.0
def_system,2017-08-2,13054.6
hydraulic_system,2017-10-1,13367.4
air_system,2017-10-2,13414.6
auger_unloading_system,2018-05-0,14352.1
electrical_system,2018-06-3,14614.9
chassis_structural,2018-08-0,14812.5
transmission_drive_system,2019-04-2,15958.2
sensor_vision_system,2020-01-1,17154.7
def_system,2020-02-1,17385.1
