component_failed,failure_timestamp,operating_hours_at_failure
auger_unloading_system,2012-05-2,3561.2
cooling_system,2012-10-0,4240.6
def_system,2012-10-0,4249.1
processing_cleaning_system,2013-06-1,5603.7
sensor_vision_system,2013-10-1,6157.5
electrical_system,2014-01-2,6623.9
auger_unloading_system,2014-01-2,6677.0
fuel_system,2014-04-2,7120.3
engine_system,2014-06-2,7419.6
hydraulic_system,2014-12-1,8392.0
def_system,2015-05-1,9215.3
transmission_drive_system,2015-09-1,9745.7
air_system,2015-12-1,10259.5
processing_cleaning_system,2016-07-0,11342.4
auger_unloading_system,2017-03-0,12596.0
cooling_system,2017-05-2,13016.4
sensor_vision_system,2018-06-2,14830.5
electrical_system,2018-09-1,15191.3
transmission_drive_system,2018-11-0,15438.6
auger_unloading_system,2019-03-0,16140.1
chassis_structural,2019-05-2,16559.7
cooling_system,2019-07-1,16796.0
processing_cleaning_system,2019-12-2,17580.9
engine_system,2020-02-2,17919.8
hydraulic_system,2020-03-2,18074.3
def_system,2020-04-0,18081.6
