component_failed,failure_timestamp,operating_hours_at_failure
processing_cleaning_system,2010-11-0,543.7
engine_system,2012-02-0,2800.7
auger_unloading_system,2012-10-2,4058.2
air_system,2013-05-2,5136.8
processing_cleaning_system,2013-07-0,5392.3
sensor_vision_system,2013-11-2,6142.7
cooling_system,2014-01-0,6369.4
def_system,2014-01-1,6448.9
hydraulic_system,2014-07-1,7404.5
fuel_system,2014-10-2,7948.5
transmission_drive_system,2014-12-1,8261.8
electrical_system,2015-08-1,9447.4
chassis_structural,2015-10-2,9797.5
def_system,2015-12-2,10097.0
auger_unloading_system,2016-05-0,10742.9
processing_cleaning_system,2016-05-0,10749.2
cooling_system,2016-12-0,11862.3
hydraulic_system,2017-06-2,12959.3
fuel_system,2017-07-1,13048.8
engine_system,2017-08-0,13171.6
processing_cleaning_system,2017-11-2,13707.8
sensor_vision_system,2018-01-2,14048.1
chassis_structural,2018-07-2,14932.2
electrical_system,2018-12-2,15691.2
air_system,2019-01-0,15766.0
transmission_drive_system,2019-08-3,16913.2
auger_unloading_system,2019-11-1,17218.0
cooling_system,2020-01-2,17628.6
processing_cleaning_system,2020-01-2,17638.2
def_system,2020-01-2,17638.2
