component_failed,failure_timestamp,operating_hours_at_failure
electrical_system,2013-01-1,4393.9
sensor_vision_system,2013-06-1,5163.4
processing_cleaning_system,2013-09-2,5734.2
engine_system,2013-11-2,6067.0
hydraulic_system,2013-11-3,6091.3
air_system,2014-10-1,7730.9
auger_unloading_system,2014-12-1,8024.6
def_system,2015-02-1,8385.0
chassis_structural,2015-04-1,8713.3
transmission_drive_system,2015-06-1,8962.1
cooling_system,2016-07-0,10726.8
sensor_vision_system,2016-11-3,11562.1
electrical_system,2017-01-0,11732.9
fuel_system,2017-05-0,12408.6
processing_cleaning_system,2017-10-3,13313.3
hydraulic_system,2018-02-2,13914.1
auger_unloading_system,2018-05-2,14274.9
cooling_system,2018-06-2,14423.6
def_system,2018-08-0,14643.0
air_system,2019-01-3,15510.9
sensor_vision_system,2019-02-2,15673.1
auger_unloading_system,2019-03-0,15740.8
processing_cleaning_system,2019-07-0,16362.1
engine_system,2019-10-1,16832.8
transmission_drive_system,2019-12-2,17193.4
