component_failed,failure_timestamp,operating_hours_at_failure
electrical_system,2012-03-0,3330.6
processing_cleaning_system,2012-04-2,3621.0
sensor_vision_system,2012-05-2,3786.0
transmission_drive_system,2012-12-3,4817.2
def_system,2013-02-0,4986.0
processing_cleaning_system,2013-04-1,5324.1
auger_unloading_system,2013-04-1,5346.8
engine_system,2013-06-1,5653.7
cooling_system,2013-08-3,6092.6
chassis_structural,2014-09-1,7918.3
processing_cleaning_system,2014-10-2,8089.6
fuel_system,2015-04-1,8886.0
def_system,2015-08-1,9530.8
cooling_system,2015-11-0,9984.0
sensor_vision_system,2016-02-1,10605.1
air_system,2016-03-3,10763.6
auger_unloading_system,2016-08-1,11507.3
engine_system,2016-08-1,11522.8
electrical_system,2016-09-0,11592.2
fuel_system,2016-10-0,11755.2
hydraulic_system,2016-12-0,12101.0
sensor_vision_system,2017-02-0,12358.0
processing_cleaning_system,2018-04-0,14272.8
chassis_structural,2018-07-2,14793.5
transmission_drive_system,2018-12-0,15556.8
electrical_system,2018-12-2,15686.3
sensor_vision_system,2019-02-2,15905.6
cooling_system,2019-08-0,16773.4
processing_cleaning_system,2019-10-0,17058.8
fuel_system,2019-10-1,17095.0
auger_unloading_system,2020-02-1,17701.9
